year,name,age,sex,genotype,value
2013,cancers,0,female,total,0
2013,cancers,15,female,total,3
2013,cancers,20,female,total,66
2013,cancers,25,female,total,395
2013,cancers,30,female,total,348
2013,cancers,35,female,total,282
2013,cancers,40,female,total,295
2013,cancers,45,female,total,238
2013,cancers,50,female,total,191
2013,cancers,55,female,total,157
2013,cancers,60,female,total,133
2013,cancers,65,female,total,133
2013,cancers,70,female,total,106
2013,cancers,75,female,total,113
2013,cancers,80,female,total,85
2013,cancers,85,female,total,57
2013,cancers,90,female,total,37
