,t,year,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence
0,0,1970.0,12449359.5,82863.1484375,0.0,0.0,4251431.96484375,0.0,154943040.0,9666264.0,0.0,54909548.0,71814.734375,0.0,9666264.0,71814.734375,0.0,4690054.5,0.0,0.0,0.0,0.0,0.0,0.026782658323987962,0.0030079405975902535,0.0,2574281.86,1104841.875,-1579924.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54909548.0,0.020121124927125606,0.04688222638438036,0.1760397663444616,0.05660226080078065,0.002600103895018195
1,1,1971.0,10978814.5,309355.77734375,0.0,0.0,6806930.875,0.0,157705168.0,9908224.0,0.0,56035384.0,259637.875,0.0,9908224.0,259637.875,0.0,4644756.0,0.0,0.0,0.0,0.0,0.0,0.02320535769210387,0.011079016857729058,0.0,2574281.86,1149035.75,-209919.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56035384.0,0.02050553896445146,0.04594029122741445,0.17682084591407457,0.054937011555333,0.009212795422887944
2,2,1972.0,10426392.25,393323.765625,0.0,0.0,7431167.125,0.0,161770992.0,10013184.0,0.0,57455104.0,497178.96875,0.0,10013184.0,497178.96875,0.0,4542006.0,0.0,0.0,0.0,0.0,0.0,0.02148385220592165,0.013872109739692225,0.0,2651620.8,1030817.6875,-121532.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57455104.0,0.01794127267614031,0.04615117918853649,0.1742784070149799,0.052477052238236906,0.01723279540901961
3,3,1973.0,11034056.5,428678.703125,0.0,0.0,7996845.75,0.0,165560592.0,10456226.0,0.0,58837260.0,725881.25,0.0,10456226.0,725881.25,0.0,4617135.0,0.0,0.0,0.0,0.0,0.0,0.02221554531124975,0.0148904313353451,0.0,2740008.16,1028608.125,-254113.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58837260.0,0.017482257416473846,0.04656926852134175,0.17771435991410886,0.05214494094343059,0.024593845477678417
4,4,1974.0,11298113.0,408791.5390625,0.0,0.0,8185774.375,0.0,169847376.0,10639630.0,0.0,60247040.0,824212.125,0.0,10639630.0,824212.125,0.0,4526538.0,0.0,0.0,0.0,0.0,0.0,0.022173069466004978,0.013912910890373041,0.0,2828395.52,1018664.5,-287258.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60247040.0,0.016908125278851875,0.04694663040707062,0.17660004541301946,0.04995122885281469,0.027286024206008903
5,5,1975.0,11579848.5,356863.96484375,0.0,0.0,8594565.5,0.0,174565056.0,11053946.0,0.0,61931924.0,813163.8125,0.0,11053946.0,813163.8125,0.0,4713256.5,0.0,0.0,0.0,0.0,0.0,0.022111810854057758,0.01181462268377428,0.0,2927831.3,943535.125,-209919.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61931924.0,0.015235036537860507,0.04727499342665343,0.17848542861352087,0.05065004554387355,0.026215495043239116
6,6,1976.0,11059468.0,459614.2734375,2209.68408203125,0.0,8689582.125,0.0,180111360.0,10947880.0,2209.68408203125,63673152.0,902656.0,2209.68408203125,10950090.0,904865.6875,0.0,4542006.0,0.0,0.0,0.0,0.0,0.0,0.020467833529952434,0.014828543784061681,6.927846167487788,3016218.66,951269.1875,-287258.92,7.212753991395832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63673152.0,0.014939879016826432,0.04737033687290995,0.17193871602272806,0.047464008284433555,0.028298292777680385
7,7,1977.0,11437324.5,271791.1328125,2209.68408203125,0.0,8877405.0,0.0,185315168.0,11240663.0,4419.3681640625,65548072.0,911494.75,1104.842041015625,11245083.0,912599.625,3314.526123046875,4729829.0,0.0,3314.526123046875,3314.526123046875,0.0,0.0,0.02057274394290272,0.008520069562226942,6.734686376110693,3115654.44,887188.25,-298307.34,7.645708173457216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.526123046875,3314.526123046875,3314.526123046875,0.0,0.0,0.0,3314.526123046875,3314.526123046875,3314.526123046875,3314.526123046875,0.0,65548072.0,0.013534925176746617,0.0475323582362575,0.17148731697249617,0.048050371532199695,0.027779647881868128
8,8,1978.0,11850535.75,399952.8125,1104.842041015625,0.0,9306084.0,1104.842041015625,191038240.0,11378768.0,5524.2099609375,67464976.0,1000987.0,2209.68408203125,11383188.0,1003196.625,3314.526123046875,4688950.0,0.0,3314.526123046875,3314.526123046875,0.0,0.0,0.02067742344848515,0.012235103235615228,3.279656326745955,3215090.22,1115890.25,-110484.2,5.06353022519031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.526123046875,3314.526123046875,3314.526123046875,3314.526123046875,0.0,67464976.0,0.016540289734928534,0.047655693526074926,0.16866185500458786,0.04639316550246184,0.02971174072456271
9,9,1979.0,11925664.5,522590.296875,2209.68408203125,0.0,9656319.25,0.0,197313760.0,11653874.0,7733.8935546875,69587376.0,1105947.0,4419.3681640625,11660504.0,1110366.375,3314.526123046875,4806063.5,0.0,3314.526123046875,3314.526123046875,0.0,0.0,0.02014670188232184,0.015532130749057006,6.359300030042369,3281380.74,1040761.25,-77338.94,8.34035294875547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.526123046875,3314.526123046875,3314.526123046875,3314.526123046875,0.0,69587376.0,0.014956178977060437,0.04715482791016578,0.16747109418237008,0.0460990680245972,0.0318242524165146
10,10,1980.0,11970962.5,478396.6015625,2209.68408203125,0.0,9616544.5,0.0,204219008.0,11912407.0,9943.578125,71637960.0,1056229.0,3314.526123046875,11921247.0,1059543.625,6629.0517578125,4807168.0,0.0,6629.0517578125,6629.0517578125,0.0,0.0,0.019539419334234222,0.013783662031037027,6.179132526388501,3347671.2600000002,1073906.375,-121532.62,6.4381482734882765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.526123046875,3314.526123046875,3314.526123046875,0.0,0.0,0.0,6629.05224609375,6629.05224609375,6629.05224609375,6629.05224609375,0.0,71637960.0,0.014990744781118837,0.04673041024618792,0.16628623986501012,0.044804859148772844,0.02953351634924088
11,11,1981.0,12515649.75,344710.7109375,1104.842041015625,0.0,9501641.0,0.0,211367360.0,11962126.0,11048.419921875,73964752.0,951269.125,4419.3681640625,11972070.0,955688.375,6629.0517578125,4849152.0,0.0,6629.0517578125,6629.0517578125,0.0,0.0,0.019737594536829148,0.009595571135363145,2.996524028948091,3425010.2,930277.125,-88387.36,3.478473537831971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6629.05224609375,6629.05224609375,6629.05224609375,6629.05224609375,0.0,73964752.0,0.012577303375532173,0.04630597828544061,0.16172738603923123,0.043833895119994984,0.025796983301084025
12,12,1982.0,13126628.25,419839.96875,5524.210205078125,0.0,10481635.75,0.0,217289312.0,12795176.0,16572.62890625,76184384.0,1087164.75,4419.3681640625,12810644.0,1091584.0,12153.26171875,5241371.0,0.0,12153.26171875,12153.26171875,0.0,0.0,0.020136944195396043,0.011373499000379376,14.538686682315454,3513397.56,1028608.125,-220968.4,17.8536378479336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.2099609375,5524.2099609375,5524.2099609375,0.0,0.0,0.0,12153.26220703125,12153.26220703125,12153.26220703125,12153.26220703125,0.0,76184384.0,0.013501561225460588,0.0461170304927582,0.1679501142911387,0.045975675475301854,0.028608812694724914
13,13,1983.0,11987535.0,482815.9609375,6629.05224609375,0.0,9786690.25,2209.68408203125,225100544.0,12134482.0,23201.681640625,78513392.0,1047390.375,11048.419921875,12156578.0,1058438.75,12153.26171875,4930910.5,0.0,12153.26171875,12153.26171875,0.0,0.0,0.01775137869058193,0.012672174742817309,16.93814581689288,3612833.34,1063962.875,-165726.3,19.56620481876675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12153.26220703125,12153.26220703125,12153.26220703125,12153.26220703125,0.0,78513392.0,0.013551355353491796,0.04601550446323858,0.1545530219863638,0.041985342992164,0.026754720537555655
14,14,1984.0,12000794.0,494969.2421875,8838.736328125,0.0,9653004.75,1104.842041015625,231409168.0,12216240.0,32040.41796875,80593816.0,1115890.5,19887.15625,12248280.0,1135777.625,12153.26171875,4961846.0,0.0,12153.26171875,12153.26171875,0.0,0.0,0.017286543576642853,0.01269625326796537,22.05193159645838,3645978.6,1139092.25,-397743.12,25.999269254136546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12153.26220703125,12153.26220703125,12153.26220703125,12153.26220703125,0.0,80593816.0,0.01413374259384864,0.04523893743907101,0.15157788284897689,0.04124421619609063,0.02782675784365154
15,15,1985.0,10731329.75,411001.2265625,3314.526123046875,0.0,8921598.75,1104.842041015625,238933168.0,11617414.0,35354.9453125,82737208.0,1036341.875,3314.526123046875,11651665.0,1039656.4375,32040.41796875,4694474.0,0.0,32040.41796875,32040.41796875,0.0,0.0,0.014971173515209352,0.010234399554130127,8.046562061898422,3690172.28,1188810.0,-320404.18,8.233150613376683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19887.15625,19887.15625,19887.15625,0.0,0.0,0.0,32040.41845703125,32040.41845703125,32040.41845703125,32040.41845703125,0.0,82737208.0,0.014368505159129855,0.04460112166221514,0.14041341593252699,0.03798565837436244,0.025156894098974383
16,16,1986.0,10702603.5,490549.8515625,7733.89404296875,0.0,8448726.75,1104.842041015625,246059392.0,11746681.0,43088.8515625,85115936.0,1098213.0,11048.419921875,11787561.0,1109261.375,32040.41796875,4656909.0,0.0,32040.41796875,32040.41796875,0.0,0.0,0.014498672336799077,0.011895512665044983,18.272468970160617,3745414.38,1050704.75,-265162.08,22.983056597145435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32040.41845703125,32040.41845703125,32040.41845703125,32040.41845703125,0.0,85115936.0,0.012344395178829968,0.04400367963996777,0.13800801062682316,0.03666588404693451,0.025940135731771494
17,17,1987.0,11564381.0,239750.7109375,5524.210205078125,0.0,9089535.25,0.0,252732640.0,12170941.0,47508.2109375,87378648.0,989938.5,8838.736328125,12216239.0,998777.1875,38669.4765625,5024822.0,0.0,41984.0078125,41984.0078125,0.0,0.0,0.015252456772764557,0.00564501354446053,12.713263665327883,3811704.9,1191019.625,-309355.76,14.431991074498324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11048.419921875,11048.419921875,11048.419921875,0.0,0.0,0.0,43088.83837890625,43088.83837890625,43088.83837890625,43088.83837890625,0.0,87378648.0,0.01363055680376286,0.04362284136051178,0.13928964659650034,0.03853877922370685,0.02277753597831775
18,18,1988.0,11595316.0,485025.6484375,8838.736328125,0.0,8698420.625,1104.842041015625,259295392.0,12489136.0,56346.9453125,89793840.0,1048495.125,17677.47265625,12543272.0,1066172.625,38669.4765625,5069016.0,0.0,41984.0078125,41984.0078125,0.0,0.0,0.014906185966210048,0.011149487708849859,19.847666295823558,3900092.2600000002,1152350.125,-298307.34,23.94127370054226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43088.83837890625,43088.83837890625,43088.83837890625,43088.83837890625,0.0,89793840.0,0.012833287060671423,0.043433850918949454,0.13908677922672646,0.03792707214940906,0.023534952496211493
19,19,1989.0,12665908.5,434202.921875,16572.630615234375,0.0,9819834.75,0.0,265438320.0,13169718.0,72919.5703125,92182504.0,1136882.5,34250.10546875,13241533.0,1171132.625,38669.4765625,5250210.0,0.0,41984.0078125,41984.0078125,0.0,0.0,0.015905651829020016,0.009728685477468045,36.237133876537065,4010576.46,1385472.0,-209919.98,54.1269180211153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43088.83837890625,43088.83837890625,43088.83837890625,43088.83837890625,0.0,92182504.0,0.015029663329605366,0.043506916019551825,0.1428657004153413,0.03823778159470254,0.02484007195931558
20,20,1990.0,12539957.0,342501.015625,8838.736328125,0.0,10060691.75,6629.05224609375,273116928.0,13369694.0,81758.3046875,94641880.0,1068382.25,14362.9453125,13447033.0,1082745.25,67395.3671875,5456815.0,0.0,70709.8828125,70709.8828125,0.0,0.0,0.015304747667148141,0.007467359830917672,18.837712597032354,4098963.82,1305923.375,-320404.18,30.238797342451104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32040.41796875,28725.892578125,32040.41796875,0.0,0.0,0.0,75129.25634765625,71814.73095703125,75129.25634765625,75129.25634765625,0.0,94641880.0,0.013798578124187727,0.04331025355793862,0.14126614982711672,0.03875458057457698,0.022763116942065755
21,21,1991.0,12152156.5,330347.763671875,8838.736328125,0.0,9918165.75,2209.68408203125,281602112.0,13187396.0,89492.1953125,97250416.0,974470.6875,23201.681640625,13271364.0,997672.375,66290.5234375,5426984.5,0.0,69605.0546875,69605.0546875,0.0,0.0,0.014384547063813688,0.00699251569234479,18.33978907998773,4187351.18,1272777.875,-265162.08,27.734593774505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75129.25634765625,71814.73095703125,75129.25634765625,75129.25634765625,0.0,97250416.0,0.013087634247240649,0.04305741149734516,0.13560246364396014,0.037517376118334854,0.02020988817964922
22,22,1992.0,12226181.5,394428.59765625,5524.210205078125,0.0,9720400.0,4419.3681640625,288816768.0,13297880.0,95016.4140625,99708688.0,1030817.6875,11048.419921875,13387372.0,1041866.125,83967.9921875,5557356.0,0.0,88387.3515625,88387.3515625,0.0,0.0,0.01411065521421988,0.008149940157026095,11.178929588255658,4286786.96,1664997.125,-121532.62,16.545623975066164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20991.998046875,18782.314453125,20991.998046875,0.0,0.0,0.0,96121.25439453125,90597.04541015625,96121.25439453125,96121.25439453125,0.0,99708688.0,0.016698616323183393,0.042993113699379935,0.1333673149926514,0.037478301473759856,0.020855221110511354
23,23,1993.0,12564263.25,508227.328125,11048.42041015625,0.0,9751335.5,1104.842041015625,296053472.0,13729873.0,103855.1484375,102370256.0,1235213.5,22096.83984375,13828204.0,1257310.25,81758.3046875,5531944.0,0.0,86177.6796875,86177.6796875,0.0,0.0,0.014146389575191336,0.010284384634547136,21.821671653037324,4386222.74,1499270.75,-187823.14,33.95268058304488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96121.25439453125,90597.04541015625,96121.25439453125,96121.25439453125,0.0,102370256.0,0.014645569998379217,0.0428466520587777,0.13411974861135445,0.036404481202725686,0.024385987986557528
24,24,1994.0,13220539.75,521485.453125,14362.946533203125,2209.68408203125,10151289.0,3314.526123046875,303721088.0,14168496.0,112693.8828125,105082632.0,1239632.875,32040.41796875,14275665.0,1271673.25,80653.4609375,5829147.0,0.0,82863.1484375,82863.1484375,0.0,0.0,0.014509517967133494,0.010272257719501231,27.634877189149627,4496706.94,1467230.375,-265162.08,42.57009254737443,5.6456993665681745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96121.25439453125,90597.04541015625,96121.25439453125,96121.25439453125,4.248900246693056,105082632.0,0.013962634424687802,0.042792104217564714,0.13483194825192427,0.03736199867922993,0.023836332402569365
25,25,1995.0,13591766.25,475082.078125,12153.262451171875,0.0,10435232.25,5524.210205078125,312084736.0,14528674.0,124847.1328125,108057976.0,1197648.875,15467.787109375,14643578.0,1213116.625,109379.3515625,5980510.5,0.0,110484.1953125,110484.1953125,0.0,0.0,0.014517175072605921,0.009085146620681902,22.727272120467696,4618239.56,1491536.75,-66290.52,30.687103603869385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29830.734375,27621.05078125,29830.734375,0.0,0.0,0.0,125951.98876953125,118218.09619140625,125951.98876953125,125951.98876953125,0.0,108057976.0,0.01380311574593994,0.04273853472880151,0.13445258312074992,0.0372688364052198,0.022390219025585127
26,26,1996.0,14272349.0,521485.453125,9943.578369140625,0.0,11123548.75,5524.210205078125,320647296.0,14607118.0,133685.875,110992440.0,1332439.625,25411.365234375,14727546.0,1357851.0,108274.5078125,5812574.0,0.0,109379.3515625,109379.3515625,0.0,0.0,0.014837017888548378,0.009731155282815917,18.11338779341065,4728723.76,1567771.0,-187823.14,27.18518259130208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125951.98876953125,118218.09619140625,125951.98876953125,125951.98876953125,0.0,110992440.0,0.014125025091799045,0.0426040166339257,0.13160462099941223,0.035277941606958636,0.02426071166692133
27,27,1997.0,14273454.0,640808.3671875,8838.736328125,0.0,11122444.25,5524.210205078125,329927936.0,14838030.0,140314.9375,114071632.0,1447343.25,9943.578125,14967297.0,1457286.75,130371.3515625,5931897.0,0.0,132581.03125,132581.03125,0.0,0.0,0.014420779451667894,0.011661337457188581,15.674594195183209,4817111.12,1452867.375,-243065.24,23.966628520758018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26516.208984375,25411.365234375,26516.208984375,0.0,0.0,0.0,152468.19775390625,143629.46142578125,152468.19775390625,152468.19775390625,0.0,114071632.0,0.012736447699810239,0.042228826181780234,0.1300764242594513,0.03505919160516603,0.025662625794173628
28,28,1998.0,14072373.0,631969.625,14362.9462890625,0.0,10915838.75,4419.3681640625,338589888.0,15085515.0,153573.03125,116914400.0,1476069.0,24306.5234375,15224724.0,1500375.625,129266.5078125,5973881.5,0.0,131476.1875,131476.1875,0.0,0.0,0.013853901626264752,0.011214805578718259,24.84804269098658,4916546.9,1793158.75,-254113.66,39.20410343107002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152468.19775390625,143629.46142578125,152468.19775390625,152468.19775390625,0.0,116914400.0,0.015337364345196143,0.042052535017072325,0.12903042738961154,0.03443510504829115,0.025525409772620734
29,29,1999.0,14523148.75,656276.1875,7733.894287109375,1104.842041015625,11324630.25,4419.3681640625,347406560.0,15431330.0,156887.5625,119916248.0,1671626.125,29830.734375,15574960.0,1701457.0,127056.8203125,5978300.5,0.0,128161.6640625,128161.6640625,0.0,0.0,0.013934824901790379,0.01140246492125495,13.064576178199395,5060176.36,1775481.5,-154677.88,19.07544062254122,2.779225129335771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152468.19775390625,143629.46142578125,152468.19775390625,152468.19775390625,1.865428000183336,119916248.0,0.014806012776517156,0.0421975874361913,0.12868422968003468,0.03364610424599246,0.028223927617258997
30,30,2000.0,13550887.75,609872.8203125,8838.736328125,1104.842041015625,11204203.0,8838.736328125,357615296.0,15495410.0,161306.921875,123155648.0,1684884.25,13258.103515625,15642354.0,1698142.5,148048.828125,5879970.0,0.0,149153.671875,149153.671875,0.0,0.0,0.012630786864702044,0.01033050103782418,14.55948405012147,5247999.5,1589867.75,-364597.86,21.95552655967792,3.077108722456984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24306.5234375,23201.681640625,24306.5234375,0.0,0.0,0.0,176774.72119140625,166831.14306640625,176774.72119140625,176774.72119140625,1.8195381332480094,123155648.0,0.01290941808856383,0.042612739125046054,0.12581972691987298,0.0322786100944029,0.027747958795682866
31,31,2001.0,14053590.75,452985.234375,9943.578369140625,1104.842041015625,11245082.25,6629.05224609375,368078144.0,15709750.0,167935.96875,126654680.0,1551198.25,22096.83984375,15860010.0,1573295.25,145839.140625,6081051.0,0.0,146943.984375,146943.984375,0.0,0.0,0.012726999215688286,0.007435348461064754,15.921876161461565,5402677.38,1579924.25,-265162.08,26.758019273541535,2.9370505165578296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176774.72119140625,166831.14306640625,176774.72119140625,176774.72119140625,1.7684716316053055,126654680.0,0.012474266643759236,0.042656752833768165,0.12403607983534441,0.03244556170207317,0.024829342098523555
32,32,2002.0,14276769.0,409896.390625,11048.42041015625,0.0,11139018.0,4419.3681640625,378485760.0,16014686.0,171250.5,130106208.0,1441819.0,11048.419921875,16172679.0,1452867.375,160202.078125,6345108.5,0.0,164621.453125,164621.453125,0.0,0.0,0.01257358533118921,0.006535717061533592,17.223561113350712,5535258.42,1671626.25,-342501.02,23.183678063491705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23201.681640625,23201.681640625,23201.681640625,0.0,0.0,0.0,199976.40283203125,190032.82470703125,199976.40283203125,199976.40283203125,0.0,130106208.0,0.012848166707002943,0.042544153004597594,0.12308933021858573,0.03296596266706236,0.022472878750612938
33,33,2003.0,15155118.5,539162.921875,8838.736328125,0.0,11269389.0,3314.526123046875,388595104.0,16875358.0,176774.703125,133744448.0,1505899.75,19887.15625,17037772.0,1525786.875,156887.5625,6819085.5,0.0,161306.921875,161306.921875,0.0,0.0,0.012999922321889745,0.008377682056980787,13.423944266719529,5678887.88,1511424.0,-486130.48,22.51659509520886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199976.40283203125,190032.82470703125,199976.40283203125,199976.40283203125,0.0,133744448.0,0.011300835455988423,0.04246073736085105,0.12617613854146678,0.03451148834021287,0.02286413991890312
34,34,2004.0,15904201.25,549106.484375,8838.736328125,0.0,12113487.5,11048.42041015625,399776064.0,17257632.0,178984.390625,137618032.0,1332439.5,28725.892578125,17418940.0,1361165.5,150258.5,7029005.5,0.0,155782.71875,155782.71875,0.0,0.0,0.013260925037939906,0.008271889385085083,13.058451327691227,5822517.34,1550093.5,-320404.18,22.08463060928882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199976.40283203125,190032.82470703125,199976.40283203125,199976.40283203125,0.0,137618032.0,0.011263738315920693,0.04230926176883564,0.1254024036617527,0.0346010955104875,0.01967726433054272
35,35,2005.0,16584783.75,573413.0,6629.05224609375,0.0,13426039.75,14362.946533203125,410747136.0,17638804.0,180089.234375,141343552.0,1473859.375,13258.103515625,17796796.0,1487117.5,166831.140625,7100820.5,0.0,174565.03125,174565.03125,0.0,0.0,0.01345903784950554,0.008436691418350007,9.548209834923771,5955098.38,1856134.75,-265162.08,14.70611611471806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26516.208984375,24306.5234375,26516.208984375,0.0,0.0,0.0,226492.61181640625,214339.34814453125,226492.61181640625,226492.61181640625,0.0,141343552.0,0.013132079417390047,0.04213208381801527,0.1247938356607877,0.03408590785648722,0.02122480135204228
