,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
2305,2305,14.995120067314138,2026-01-14 02:43:13.181804,2026-01-14 02:46:25.461445,0 days 00:03:12.279641,0.3304907040374987,0.04400514009895416,0.000664988630629651,7.532364881439721,0.06426856933840952,3.5355730436187815e-05,7.280958479418904,0.02825886775374819,2.4115489232500136,0.4996342079150136,0.07476678180690159,10.941333033716116,0.9408537321469647,COMPLETE
2984,2984,15.000537979009932,2026-01-14 07:52:01.335855,2026-01-14 07:55:13.849494,0 days 00:03:12.513639,0.42165061912455043,0.0730683105661237,0.03515606957711545,6.991965239109993,0.19587678686936055,0.0004608357373226136,7.2741113953465,0.07029655558427705,1.7102180879096804,0.6726731409079718,0.061244686886353,5.180140329359966,0.9421191766057686,COMPLETE
3609,3609,15.042495724611747,2026-01-14 15:13:18.433909,2026-01-14 15:16:52.040308,0 days 00:03:33.606399,0.2599625942869271,0.10464558257207097,0.016362314432519485,7.638977638447986,0.3312384795559937,0.0007857053043154265,7.664778558443981,0.039640894480081956,2.2946580737278723,0.6655237984970394,0.04025449476908087,4.585474960510565,0.9560799899903808,COMPLETE
4431,4431,15.050059029820718,2026-01-14 22:47:56.873199,2026-01-14 22:51:12.647258,0 days 00:03:15.774059,0.1432272709950897,0.08235698285047997,0.03133651573799434,8.342121378328262,0.3388037883784537,0.00026952883115789674,7.607753290904154,0.07616484415624465,2.6124827547669383,0.5394560051798276,0.016301962751892184,4.583343719556565,0.8948269371418496,COMPLETE
4455,4455,15.4404282875489,2026-01-14 22:59:18.807797,2026-01-14 23:02:37.444209,0 days 00:03:18.636412,0.11560580092939374,0.09345339907559856,5.800611475044817e-05,8.338910316545553,0.33895113049502684,3.4910926108776665e-05,7.78156354873112,0.1255178303462586,2.9705095823849947,0.5387784396795823,0.016826368793955465,4.594604774434284,0.8818684706242975,COMPLETE
3619,3619,15.567566849351095,2026-01-14 15:19:16.163691,2026-01-14 15:22:48.583186,0 days 00:03:32.419495,0.12609360273886608,0.1090696096106607,0.015175199134866962,7.63575721998417,0.32290334887614514,0.0008900925947790243,7.5801147317553195,0.017488126036417168,2.5808710148570513,0.6754118267488053,0.01185962337067284,4.478578408465502,0.9740111761081462,COMPLETE
4059,4059,15.568839839473538,2026-01-14 19:47:04.541760,2026-01-14 19:50:26.903344,0 days 00:03:22.361584,0.20881935558149678,0.07932829878701139,0.018705714566667694,10.062438217035,0.20032950654059592,0.0005683606757636479,7.260455817553201,0.04317200176650288,1.487789839414043,0.5536040099211829,0.01812526087086292,5.993219537581041,0.9266224262494734,COMPLETE
2799,2799,15.588446949664041,2026-01-14 06:27:28.772229,2026-01-14 06:30:36.788759,0 days 00:03:08.016530,0.21929289792312304,0.05010450111617745,0.020934969579199353,8.13728883522815,0.10897907400867225,6.191674836440405e-05,7.618236248804863,0.10169152485307764,9.481966498166269,0.5632360972096914,0.08553345616460216,6.75662191902339,0.9776233411953726,COMPLETE
3762,3762,15.670262571752462,2026-01-14 17:37:05.800554,2026-01-14 17:39:39.626417,0 days 00:02:33.825863,0.23967912817849357,0.07676178371354275,0.021183715768404693,7.598741532677388,0.3540231675028336,0.0005801667440017502,7.1153995760374835,0.07820893719708305,2.742531702738052,0.6643418528699727,0.08034786338939676,5.866201626915482,0.9320116528932914,COMPLETE
2426,2426,15.699486351611023,2026-01-14 03:39:20.434720,2026-01-14 03:42:28.606500,0 days 00:03:08.171780,0.38557389480930776,0.045817253495649815,0.0549595291462969,7.865866203033083,0.18037652108859065,0.00011583257998025866,7.281706199121037,0.05146152345903786,2.4177399488158886,0.48801939816093415,0.11073511070333837,6.157618766108413,0.9142559077412686,COMPLETE
3410,3410,15.8321982211284,2026-01-14 13:30:12.449456,2026-01-14 13:33:42.394987,0 days 00:03:29.945531,0.4215598900847669,0.04349954027974055,0.0014108301865193781,9.36935065958329,0.29529308141718663,0.0002286130930807039,7.871505295994645,0.04858060690750778,1.9135671521760802,0.6041924145963574,0.05896916951358073,5.883324420857304,0.9349831290551722,COMPLETE
3188,3188,15.924112475384398,2026-01-14 10:14:24.546957,2026-01-14 10:17:27.751061,0 days 00:03:03.204104,0.41496325677797113,0.04718492634787857,0.06690792785524893,9.776556418799125,0.1765348925513069,0.0002341440840774639,7.472801432748209,0.06280289789059215,1.747515062574704,0.5663368148334011,0.08714407134918684,5.225789948963913,0.9743109160688671,COMPLETE
1551,1551,16.000282256047456,2026-01-13 20:18:27.942961,2026-01-13 20:21:26.958076,0 days 00:02:59.015115,0.3475153422545573,0.15377897520342254,0.23414234198555792,3.445671018494162,0.08037195227771006,0.0008594327384649758,2.2789796764691306,0.2265155508423104,1.2542896943479562,0.5117194977676025,0.06505100418281405,10.278647343624542,0.8764070221561778,COMPLETE
1086,1086,16.122303875105562,2026-01-13 16:58:15.538814,2026-01-13 17:01:17.796341,0 days 00:03:02.257527,0.3440733335793797,0.1522975130732157,0.19024311515924439,3.646010421999798,0.12193398388896856,0.0007223713301960678,1.1837772088664815,0.296069298797021,2.187484835754913,0.278737630245302,0.0438821530614788,10.153264886204546,0.8817923075033416,COMPLETE
2555,2555,16.184332440352485,2026-01-14 04:37:50.875248,2026-01-14 04:40:59.543990,0 days 00:03:08.668742,0.39374681174694365,0.06311588291911006,0.04858627651760039,7.633374352331758,0.1559927297226203,0.0001527508878917718,8.312052352085045,0.04509864041230699,1.8197061653385056,0.6784945671557918,0.056917886716360035,5.886479813887181,0.9565110061308867,COMPLETE
3919,3919,16.199760829501603,2026-01-14 18:44:32.103980,2026-01-14 18:47:39.798228,0 days 00:03:07.694248,0.23426747451773014,0.07201243170864463,0.09428064441219111,7.005024512987847,0.10904511521938623,0.00010169991034977082,7.767796806744626,0.04753269419140785,2.241526399639365,0.524755543395319,0.036732490018377924,5.825511837094596,0.9560011182552863,COMPLETE
2427,2427,16.204683830640484,2026-01-14 03:39:25.579335,2026-01-14 03:42:32.537353,0 days 00:03:06.958018,0.40971414566638226,0.044046015830498914,0.06248747675702426,7.869106791973531,0.12499666068044052,2.8969278581559297e-06,7.654023526511644,0.02643983715357243,2.389689199913259,0.48054544868839705,0.05793752025079924,11.174897565709427,0.9155311663631011,COMPLETE
2926,2926,16.21581728908954,2026-01-14 07:25:47.674303,2026-01-14 07:29:04.016823,0 days 00:03:16.342520,0.41282278624149876,0.07148001061176582,0.02512719317532816,6.773163884987351,0.16007590836698646,0.0006801974955548248,7.422235969827857,0.06964915287360494,1.584545335080262,0.6344215032847476,0.03323354959243214,4.395090869459001,0.9131574918775296,COMPLETE
3183,3183,16.263730456343257,2026-01-14 10:12:07.476896,2026-01-14 10:15:11.322935,0 days 00:03:03.846039,0.40676500184466857,0.056661808852421176,0.04909644807946495,9.985877145936797,0.17684559251972967,0.00010517656566044211,7.452070446708516,0.017307444802342913,1.476062803044516,0.566000465986366,0.05616642318108895,5.320282303559081,0.9467787564534683,COMPLETE
3645,3645,16.295420377400614,2026-01-14 15:31:24.262340,2026-01-14 15:34:48.119847,0 days 00:03:23.857507,0.26330490797356304,0.08730739381268536,0.033139943724223006,7.330701424526012,0.3395265769146483,0.00036132906588784116,7.52152352658782,0.06470664918550173,2.587483364945144,0.6535132110130154,0.0180908146436379,4.598739182162455,0.9595598205480582,COMPLETE
2559,2559,16.30312923395,2026-01-14 04:39:07.806645,2026-01-14 04:42:16.085791,0 days 00:03:08.279146,0.3999720937243668,0.07153089610637593,0.0808879644564581,7.52321486640155,0.12371221895862412,0.0004232211895628023,7.068810170276739,0.04561591846877549,1.8020393156099428,0.5424189555996066,0.058738205453761,6.451864429038815,0.9502817781066631,COMPLETE
4480,4480,16.303535910134165,2026-01-14 23:12:21.339109,2026-01-14 23:15:05.232807,0 days 00:02:43.893698,0.11772860126319114,0.10562775871263994,0.0010754209690168309,8.231953629357367,0.35378280702822734,0.00016063303855905296,7.718237966473123,0.10432333776382016,2.650915456174535,0.5487874169934873,0.03621794030093938,4.654392133971035,0.889608487423174,COMPLETE
3162,3162,16.378162045064308,2026-01-14 10:02:31.913572,2026-01-14 10:05:33.554248,0 days 00:03:01.640676,0.4074530346910902,0.08854961043587065,0.020265982637027412,9.364122779579676,0.18757209088058002,0.00013533462099518103,7.511597884823026,0.03667164450504151,1.7624563601053977,0.5752353939150758,0.07715620936507768,4.910305068553018,0.9655879098178651,COMPLETE
