alg,LQ (_LV),Median (_LV),UQ (_LV),P(less than target 4) (_LV),LQ (),Median (),UQ (),P(less than target 4) (),LQ (_HV),Median (_HV),UQ (_HV),P(less than target 4) (_HV)
5_5,2.13,2.69,3.20,0.959,2.32,2.79,3.26,0.936,2.56,3.07,3.55,0.886
5_7,2.24,2.67,3.09,0.950,2.43,2.91,3.39,0.927,2.55,3.04,3.54,0.891
5_10,2.23,2.67,3.11,0.955,2.42,2.89,3.38,0.927,2.55,2.98,3.41,0.882
5_15,2.23,2.66,3.21,0.950,2.31,2.90,3.36,0.909,2.54,3.06,3.59,0.886
10_10,2.41,2.86,3.41,0.927,2.55,3.12,3.70,0.823,2.78,3.23,3.92,0.759
10_15,2.45,2.93,3.56,0.886,2.54,3.12,3.73,0.841,2.67,3.27,3.79,0.782
15_15,2.64,3.17,3.72,0.832,2.76,3.37,3.97,0.768,2.81,3.53,4.13,0.709
5plus7,2.13,2.66,3.12,0.950,2.39,2.88,3.37,0.914,2.54,3.15,3.59,0.859
5plus10,2.33,2.77,3.21,0.955,2.33,2.81,3.37,0.909,2.45,3.05,3.65,0.859
5plus15,2.24,2.67,3.14,0.941,2.33,2.91,3.49,0.909,2.55,3.03,3.55,0.864
10plus15,2.34,2.92,3.45,0.877,2.55,3.11,3.85,0.791,2.77,3.30,3.88,0.782
none_none,3.17,3.91,4.72,0.532,3.35,4.27,5.14,0.432,3.62,4.35,5.25,0.400
5_none,2.22,2.67,3.20,0.945,2.31,2.89,3.41,0.905,2.54,3.06,3.54,0.891
5plusnone,2.44,2.98,3.52,0.868,2.54,3.01,3.62,0.859,2.64,3.16,3.78,0.827
