alg,LQ (_LV),Median (_LV),UQ (_LV),P(less than target 4) (_LV),LQ (),Median (),UQ (),P(less than target 4) (),LQ (_HV),Median (_HV),UQ (_HV),P(less than target 4) (_HV)
5_5,0.00,0.00,0.33,0.986,0.00,0.00,0.28,0.995,0.00,0.00,0.26,0.995
5_7,0.00,0.00,0.33,1.000,0.00,0.00,0.28,0.995,0.00,0.00,0.26,0.995
5_10,0.00,0.00,0.33,0.986,0.00,0.00,0.28,1.000,0.00,0.00,0.26,0.986
5_15,0.00,0.00,0.33,0.986,0.00,0.00,0.28,0.991,0.00,0.00,0.26,0.986
10_10,0.00,0.00,0.33,0.995,0.00,0.00,0.28,0.995,0.00,0.00,0.26,0.995
10_15,0.00,0.00,0.33,0.982,0.00,0.00,0.28,0.982,0.00,0.00,0.26,0.991
15_15,0.00,0.00,0.33,0.982,0.00,0.00,0.28,0.991,0.00,0.00,0.26,0.995
5plus7,0.00,0.00,0.33,0.991,0.00,0.00,0.28,0.986,0.00,0.00,0.26,0.991
5plus10,0.00,0.00,0.33,0.986,0.00,0.00,0.28,0.986,0.00,0.00,0.26,0.986
5plus15,0.00,0.00,0.33,0.995,0.00,0.00,0.28,0.991,0.00,0.00,0.26,0.991
10plus15,0.00,0.00,0.33,0.986,0.00,0.00,0.28,0.986,0.00,0.00,0.26,0.991
none_none,0.00,0.32,0.65,0.977,0.00,0.28,0.56,0.977,0.00,0.26,0.52,0.977
5_none,0.00,0.32,0.65,0.977,0.00,0.28,0.55,0.982,0.00,0.26,0.52,0.986
5plusnone,0.00,0.32,0.65,0.977,0.00,0.28,0.56,0.982,0.00,0.26,0.33,0.982
