year,name,age,sex,genotype,value
2021,cancers,0,female,total,0
2021,cancers,15,female,total,0
2021,cancers,20,female,total,7.14
2021,cancers,25,female,total,154.7
2021,cancers,30,female,total,405.79
2021,cancers,35,female,total,410.55
2021,cancers,40,female,total,335.58
2021,cancers,45,female,total,282.03
2021,cancers,50,female,total,268.94
2021,cancers,55,female,total,242.76
2021,cancers,60,female,total,171.36
2021,cancers,65,female,total,126.14
2021,cancers,70,female,total,132.09
2021,cancers,75,female,total,110.67
2021,cancers,80,female,total,69.02
2021,cancers,85,female,total,61.88
2021,cancers,90,female,total,29.75
