alg,LQ (_LV),Median (_LV),UQ (_LV),P(less than target 4) (_LV),LQ (),Median (),UQ (),P(less than target 4) (),LQ (_HV),Median (_HV),UQ (_HV),P(less than target 4) (_HV)
5_5,2.73,3.25,3.7,0.845,2.73,3.23,3.75,0.864,2.78,3.25,3.73,0.873
5_7,2.77,3.18,3.72,0.868,2.78,3.27,3.76,0.845,2.8,3.19,3.64,0.905
5_10,2.79,3.21,3.77,0.845,2.78,3.27,3.83,0.814,2.79,3.18,3.7,0.873
5_15,2.86,3.33,3.78,0.832,2.76,3.25,3.71,0.873,2.86,3.2,3.66,0.859
5_none,2.75,3.27,3.8,0.827,2.8,3.28,3.85,0.823,2.78,3.27,3.81,0.841
5plus7,2.8,3.26,3.72,0.85,2.79,3.19,3.75,0.836,2.8,3.24,3.73,0.859
5plus10,2.79,3.26,3.82,0.827,2.72,3.26,3.69,0.864,2.78,3.26,3.67,0.868
5plus15,2.86,3.28,3.82,0.841,2.8,3.23,3.82,0.836,2.72,3.31,3.77,0.85
5plusnone,2.94,3.48,4,0.75,2.93,3.35,3.95,0.768,2.88,3.33,3.88,0.777
10_10,3.02,3.53,4.12,0.709,3.03,3.62,4.08,0.695,3.1,3.53,4.11,0.709
10_15,2.96,3.52,4.09,0.718,2.96,3.56,4.12,0.691,3.01,3.49,4.03,0.736
10plus15,3.03,3.56,4.18,0.705,3.1,3.61,4.13,0.7,3.02,3.55,4.12,0.705
15_15,3.32,3.73,4.29,0.614,3.17,3.79,4.29,0.627,3.17,3.72,4.28,0.614
none_none,3.92,4.65,5.34,0.277,3.94,4.63,5.44,0.277,3.96,4.71,5.31,0.259
