alg,LQ (_LV),Median (_LV),UQ (_LV),P(less than target 4) (_LV),LQ (),Median (),UQ (),P(less than target 4) (),LQ (_HV),Median (_HV),UQ (_HV),P(less than target 4) (_HV)
5_5,2.99,3.42,3.88,0.814,3.12,3.68,4.19,0.650,3.22,3.69,4.28,0.655
5_7,2.91,3.33,3.82,0.823,3.11,3.66,4.14,0.673,3.14,3.79,4.25,0.627
5_10,2.92,3.44,3.87,0.782,3.00,3.52,4.16,0.682,3.11,3.73,4.34,0.627
5_15,2.92,3.42,3.97,0.755,3.12,3.67,4.23,0.677,3.11,3.68,4.34,0.627
10_10,3.21,3.75,4.38,0.632,3.45,4.00,4.54,0.495,3.46,4.04,4.64,0.473
10_15,3.23,3.76,4.38,0.636,3.41,3.97,4.54,0.505,3.45,4.03,4.72,0.486
15_15,3.41,3.97,4.61,0.505,3.55,4.15,4.83,0.427,3.71,4.26,5.01,0.373
5plus7,2.90,3.35,3.95,0.764,3.15,3.66,4.12,0.686,3.14,3.61,4.17,0.659
5plus10,2.93,3.33,3.96,0.764,3.08,3.67,4.20,0.664,3.23,3.69,4.18,0.650
5plus15,2.83,3.43,3.96,0.773,3.13,3.61,4.34,0.645,3.13,3.70,4.32,0.614
10plus15,3.22,3.73,4.36,0.605,3.43,3.99,4.58,0.509,3.47,4.11,4.81,0.445
none_none,4.14,4.88,5.82,0.195,4.46,5.16,5.99,0.159,4.47,5.19,6.09,0.114
5_none,2.91,3.42,3.95,0.777,2.99,3.65,4.13,0.700,3.13,3.71,4.16,0.664
5plusnone,3.20,3.53,4.23,0.645,3.23,3.77,4.36,0.609,3.26,3.81,4.51,0.545
