alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2032 [2030, 2035]",0.962,1.000,"2037 [2033, 2039]",0.792,1.000,"2039 [2036, 2042]",0.604,0.991
V7U5A5,"2032 [2029, 2035]",0.953,1.000,"2036 [2033, 2038]",0.849,1.000,"2038 [2036, 2042]",0.660,1.000
V10U5A5,"2032 [2029, 2035]",0.934,1.000,"2036 [2033, 2038]",0.887,1.000,"2039 [2036, 2042]",0.632,1.000
V15U5A5,"2032 [2030, 2035]",0.962,1.000,"2036 [2034, 2038]",0.840,1.000,"2039 [2036, 2041]",0.660,1.000
V_U5A5,"2033 [2029, 2036]",0.943,1.000,"2036 [2034, 2039]",0.792,0.991,"2039 [2037, 2042]",0.632,1.000
V7U7A5,"2036 [2034, 2039]",0.840,0.991,"2040 [2037, 2043]",0.575,0.981,"2042 [2039, 2044]",0.330,0.953
V10U10A5,"2042 [2039, 2045]",0.330,0.953,"2046 [2043, 2048]",0.123,0.830,"2047 [2044, 2050]",0.019,0.774
V15U15A5,"2051 [2048, 2053]",0.009,0.434,"2052 [2050, 2053]",0.000,0.321,"2053 [2051, 2055]",0.000,0.198
V_U_A5,"2056 [2056, 2056]",0.000,0.000,"2056 [2056, 2056]",0.000,0.000,"2056 [2056, 2056]",0.000,0.000
V10U7A5,"2038 [2034, 2040]",0.774,0.981,"2039 [2037, 2043]",0.585,0.962,"2042 [2040, 2045]",0.255,0.943
V15U10A5,"2043 [2040, 2046]",0.236,0.934,"2045 [2043, 2049]",0.113,0.821,"2048 [2045, 2052]",0.000,0.689
V10U10A10,"2044 [2041, 2047]",0.189,0.906,"2046 [2043, 2050]",0.085,0.755,"2048 [2045, 2051]",0.019,0.736
