alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2032 [2030, 2035]",0.946,0.983,"2037 [2033, 2039]",0.782,0.983,"2039 [2036, 2042]",0.600,0.973
V7U5A5,"2032 [2029, 2035]",0.937,0.983,"2036 [2033, 2038]",0.837,0.983,"2038 [2036, 2042]",0.655,0.983
V10U5A5,"2032 [2029, 2035]",0.919,0.983,"2036 [2033, 2038]",0.873,0.983,"2039 [2036, 2042]",0.627,0.983
V15U5A5,"2032 [2030, 2035]",0.946,0.983,"2036 [2034, 2038]",0.828,0.983,"2039 [2036, 2041]",0.655,0.983
V_U5A5,"2033 [2029, 2036]",0.928,0.983,"2036 [2034, 2039]",0.782,0.973,"2039 [2037, 2042]",0.627,0.983
V7U7A5,"2036 [2034, 2039]",0.828,0.973,"2040 [2037, 2043]",0.573,0.964,"2042 [2039, 2044]",0.336,0.937
V10U10A5,"2042 [2039, 2045]",0.336,0.937,"2046 [2043, 2048]",0.136,0.819,"2047 [2044, 2050]",0.036,0.764
V15U15A5,"2051 [2048, 2053]",0.027,0.436,"2052 [2050, 2053]",0.017,0.327,"2053 [2051, 2055]",0.017,0.209
V_U_A5,"2056 [2056, 2056]",0.017,0.017,"2056 [2056, 2056]",0.017,0.017,"2056 [2056, 2056]",0.017,0.017
V10U7A5,"2038 [2034, 2040]",0.764,0.964,"2039 [2037, 2043]",0.582,0.946,"2042 [2040, 2045]",0.263,0.928
V15U10A5,"2043 [2040, 2046]",0.245,0.919,"2045 [2043, 2049]",0.127,0.810,"2048 [2045, 2052]",0.017,0.682
V10U10A10,"2044 [2041, 2047]",0.200,0.891,"2046 [2043, 2050]",0.099,0.746,"2048 [2045, 2051]",0.036,0.728
