alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2044 [2041, 2046]",0.189,0.943,"2043 [2041, 2045]",0.217,0.981,"2043 [2041, 2045]",0.198,0.972
V7U5A5,"2043 [2041, 2046]",0.179,0.972,"2043 [2041, 2046]",0.179,0.991,"2043 [2040, 2045]",0.217,0.981
V10U5A5,"2044 [2042, 2046]",0.132,0.981,"2044 [2042, 2046]",0.142,0.962,"2043 [2041, 2046]",0.170,0.962
V15U5A5,"2044 [2041, 2046]",0.160,0.962,"2043 [2041, 2046]",0.179,0.953,"2044 [2042, 2046]",0.170,0.943
V_U5A5,"2046 [2044, 2049]",0.075,0.821,"2046 [2044, 2049]",0.085,0.802,"2046 [2043, 2050]",0.104,0.774
V7U7A5,"2044 [2042, 2047]",0.132,0.953,"2044 [2041, 2047]",0.151,0.925,"2043 [2040, 2046]",0.245,0.962
V10U10A5,"2046 [2044, 2048]",0.085,0.896,"2045 [2043, 2048]",0.075,0.934,"2045 [2043, 2047]",0.094,0.915
V15U15A5,"2048 [2046, 2051]",0.009,0.698,"2048 [2045, 2050]",0.028,0.811,"2047 [2045, 2049]",0.019,0.830
V_U_A5,"2055 [2055, 2055]",0.000,0.000,"2055 [2054, 2055]",0.000,0.019,"2055 [2054, 2055]",0.000,0.057
V10U7A5,"2044 [2042, 2047]",0.151,0.906,"2044 [2042, 2047]",0.170,0.972,"2044 [2041, 2047]",0.189,0.896
V15U10A5,"2046 [2044, 2049]",0.094,0.868,"2045 [2042, 2048]",0.104,0.925,"2044 [2043, 2047]",0.057,0.915
V10U10A10,"2055 [2054, 2055]",0.000,0.019,"2054 [2053, 2055]",0.000,0.038,"2054 [2053, 2055]",0.000,0.066
