alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2044 [2041, 2046]",0.200,0.928,"2043 [2041, 2045]",0.227,0.964,"2043 [2041, 2045]",0.209,0.955
V7U5A5,"2043 [2041, 2046]",0.190,0.955,"2043 [2041, 2046]",0.190,0.973,"2043 [2040, 2045]",0.227,0.964
V10U5A5,"2044 [2042, 2046]",0.145,0.964,"2044 [2042, 2046]",0.154,0.946,"2043 [2041, 2046]",0.181,0.946
V15U5A5,"2044 [2041, 2046]",0.172,0.946,"2043 [2041, 2046]",0.190,0.937,"2044 [2042, 2046]",0.181,0.928
V_U5A5,"2046 [2044, 2049]",0.090,0.810,"2046 [2044, 2049]",0.099,0.791,"2046 [2043, 2050]",0.118,0.764
V7U7A5,"2044 [2042, 2047]",0.145,0.937,"2044 [2041, 2047]",0.163,0.910,"2043 [2040, 2046]",0.254,0.946
V10U10A5,"2046 [2044, 2048]",0.099,0.882,"2045 [2043, 2048]",0.090,0.919,"2045 [2043, 2047]",0.109,0.901
V15U15A5,"2048 [2046, 2051]",0.027,0.691,"2048 [2045, 2050]",0.045,0.800,"2047 [2045, 2049]",0.036,0.819
V_U_A5,"2055 [2055, 2055]",0.017,0.017,"2055 [2054, 2055]",0.017,0.036,"2055 [2054, 2055]",0.017,0.072
V10U7A5,"2044 [2042, 2047]",0.163,0.891,"2044 [2042, 2047]",0.181,0.955,"2044 [2041, 2047]",0.200,0.882
V15U10A5,"2046 [2044, 2049]",0.109,0.855,"2045 [2042, 2048]",0.118,0.910,"2044 [2043, 2047]",0.072,0.901
V10U10A10,"2055 [2054, 2055]",0.017,0.036,"2054 [2053, 2055]",0.017,0.054,"2054 [2053, 2055]",0.017,0.081
