alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V7U5A5,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000
V10U5A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V15U5A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000
V_U5A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.009
V7U7A5,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V10U10A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V15U15A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V_U_A5,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000
V10U7A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V15U10A5,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2056]",0.000,0.000,"2055 [2055, 2055]",0.000,0.000
V10U10A10,"2056 [2056, 2056]",0.000,0.000,"2056 [2056, 2056]",0.000,0.000,"2056 [2056, 2056]",0.000,0.000
