alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V7U5A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V10U5A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V15U5A5,"2008 [2008, 2008]",0.981,0.991,"2008 [2008, 2008]",0.991,1.000,"2008 [2008, 2008]",0.991,1.000
V_U5A5,"2008 [2008, 2008]",0.840,0.858,"2008 [2008, 2008]",0.849,0.896,"2008 [2008, 2008]",0.877,0.887
V7U7A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V10U10A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V15U15A5,"2008 [2008, 2008]",0.981,0.991,"2008 [2008, 2008]",0.981,0.981,"2008 [2008, 2008]",0.981,0.981
V_U_A5,"2008 [2008, 2008]",0.840,0.858,"2008 [2008, 2008]",0.868,0.877,"2008 [2008, 2008]",0.896,0.906
V10U7A5,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000
V15U10A5,"2008 [2008, 2008]",0.981,0.991,"2008 [2008, 2008]",0.991,0.991,"2008 [2008, 2008]",0.991,0.991
V10U10A10,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",1.000,1.000,"2008 [2008, 2008]",0.991,0.991
