alg,"Elimination Year: Median [LQ, UQ] (_6)",2040.25 Elimination Probability (_6),2050.25 Elimination Probability (_6),"Elimination Year: Median [LQ, UQ] (_8)",2040.25 Elimination Probability (_8),2050.25 Elimination Probability (_8),"Elimination Year: Median [LQ, UQ] (_9)",2040.25 Elimination Probability (_9),2050.25 Elimination Probability (_9)
V5U5A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V7U5A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V10U5A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V15U5A5,"2008 [2008, 2008]",0.964,0.973,"2008 [2008, 2008]",0.973,0.983,"2008 [2008, 2008]",0.973,0.983
V_U5A5,"2008 [2008, 2008]",0.828,0.846,"2008 [2008, 2008]",0.837,0.882,"2008 [2008, 2008]",0.864,0.873
V7U7A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V10U10A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V15U15A5,"2008 [2008, 2008]",0.964,0.973,"2008 [2008, 2008]",0.964,0.964,"2008 [2008, 2008]",0.964,0.964
V_U_A5,"2008 [2008, 2008]",0.828,0.846,"2008 [2008, 2008]",0.855,0.864,"2008 [2008, 2008]",0.882,0.891
V10U7A5,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983
V15U10A5,"2008 [2008, 2008]",0.964,0.973,"2008 [2008, 2008]",0.973,0.973,"2008 [2008, 2008]",0.973,0.973
V10U10A10,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.983,0.983,"2008 [2008, 2008]",0.973,0.973
