16,0.000586514,0.001754625,0.000773936,0.000629694,0.001542908,0.003260452,0.001542545,0.001115285,0.001461323,0.001576737,0.00121178,0.00062492,0.001009535,0.000836576,0.00160081,0.000389371,0.003723782,0.001110536,0.000768984,0.000918103,0.000336479,0.001846148,0.000884519,0.000899066,0.003100639,0.000880021,0.001268983,0.000879302,0.002419205,0.002115317,0.001202,0.000817164,0.000975818,0.001057608,0.002048051,0.003529005,0.001471419,0.003224881,0.000730669,0.001230754,0.000764472,0.000975916,0.001023696,0.001817705
19,0.049532846,0.06799086,0.042355485,0.053697914,0.08913159,0.13673563,0.04852454,0.059908826,0.0861752,0.071321994,0.05477075,0.05878516,0.067626715,0.0430206,0.091040656,0.03574178,0.14740682,0.082375966,0.034881774,0.05806156,0.031381615,0.08480591,0.055860944,0.062161766,0.15884702,0.036194745,0.07147688,0.05773455,0.1180177,0.06364579,0.060029402,0.049364865,0.06793801,0.046348218,0.096810795,0.12404736,0.07699929,0.13631043,0.04881403,0.06464594,0.08916857,0.049374994,0.0419508,0.10923639
22,0.10018948,0.12254342,0.10650739,0.08936222,0.16063763,0.25626102,0.11346243,0.13010882,0.16985884,0.13142131,0.10223332,0.101495214,0.13227345,0.08495786,0.16440284,0.06477816,0.28143167,0.16200687,0.07796291,0.10841787,0.0683944,0.14163487,0.110860676,0.109679244,0.30249673,0.08210036,0.15403889,0.10451554,0.22371154,0.127289,0.10861357,0.10075321,0.1398714,0.080464594,0.19777013,0.256046,0.14409086,0.2757025,0.08941178,0.10901966,0.15887156,0.09803309,0.08749901,0.19692397
25,0.14672177,0.1660939,0.13965802,0.117455214,0.22366913,0.3491399,0.16005443,0.1709809,0.21655011,0.17723845,0.14103682,0.15191567,0.18817979,0.1192258,0.20954546,0.092312045,0.339946,0.20276855,0.10222972,0.1363936,0.0881459,0.20067088,0.15133403,0.14205237,0.392178,0.10786837,0.18977354,0.12526996,0.29741824,0.16046295,0.14836636,0.13987131,0.17990032,0.117214136,0.26715267,0.3272286,0.19155268,0.33391502,0.11239512,0.1557492,0.20614997,0.14991508,0.11487915,0.27802983
100,0.07135208,0.08074448,0.068003275,0.05696063,0.10788191,0.14147931,0.08241895,0.07188645,0.099119596,0.08065235,0.06925436,0.06677312,0.09314616,0.063595206,0.0975943,0.04823235,0.14220403,0.08986214,0.049527783,0.071815014,0.050148822,0.08876725,0.06852728,0.059702605,0.15181331,0.053694982,0.09194501,0.053309973,0.12661545,0.07376694,0.07631209,0.0673137,0.0824396,0.05507883,0.107621916,0.14113662,0.08780846,0.14408185,0.055769045,0.0818525,0.09018277,0.07363079,0.0526705,0.11380099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,for nonavbalent types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age bin,mean,std,,ci,,mean-ci,mean+ci,,observed mean,observed mean-ci,observed mean+ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,0.001407665,0.000847141,,0.000257554,,0.00115011,0.001665219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-18,0.07227847,0.031761328,,0.009656326,,0.062622144,0.081934796,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-21,0.139275121,0.060437912,,0.018374805,,0.120900316,0.157649925,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-24,0.184741113,0.075594379,,0.022982792,,0.161758321,0.207723905,,18.4,16.2,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25+,0.084102154,0.02834142,,0.008616579,,0.075485575,0.092718733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
